seed,diff_likelihood,diff_standard,homosexual,m_inpool,f_inpool,m_outpool,f_outpool,m_exp_all,f_exp_all,m_exp_ip,f_exp_ip,m_partner_all,f_partner_all,m_partner_ip,f_partner_ip,lt_likelihood
123096788,1,0,0,55,56,95,94,1.0733333333333333,1.0733333333333333,2.9272727272727272,2.875,0.68,0.68,1.8545454545454545,1.8214285714285714,4
974100218,1,0,0,56,58,94,92,1.04,1.04,2.7857142857142856,2.689655172413793,0.7333333333333333,0.7333333333333333,1.9642857142857142,1.896551724137931,4
-799941789,1,0,0,53,60,97,90,1.44,1.44,4.0754716981132075,3.6,0.78,0.78,2.207547169811321,1.95,4
986604797,1,0,0,55,54,95,96,1.08,1.08,2.9454545454545453,3,0.72,0.72,1.9636363636363636,2,4
-213272461,1,0,0,58,60,92,90,1.1666666666666667,1.1666666666666667,3.0172413793103448,2.9166666666666665,0.8,0.8,2.0689655172413794,2,4
-463509240,1,0,0,55,52,95,98,1.04,1.04,2.8363636363636364,3,0.7066666666666667,0.7066666666666667,1.9272727272727272,2.0384615384615383,4
1240659734,1,0,0,53,59,97,91,1.2133333333333334,1.2133333333333334,3.4339622641509435,3.0847457627118646,0.78,0.78,2.207547169811321,1.9830508474576272,4
2141818368,1,0,0,57,51,93,99,1.0333333333333334,1.0333333333333334,2.719298245614035,3.0392156862745097,0.7,0.7,1.8421052631578947,2.0588235294117645,4
101139761,1,0,0,49,55,101,95,0.8733333333333333,0.8733333333333333,2.673469387755102,2.381818181818182,0.6266666666666667,0.6266666666666667,1.9183673469387754,1.709090909090909,4
-2035121536,1,0,0,53,49,97,101,1.16,1.16,3.2830188679245285,3.5510204081632653,0.6333333333333333,0.6333333333333333,1.7924528301886793,1.9387755102040816,4
-300825546,1,0,0,42,52,108,98,0.74,0.74,2.642857142857143,2.1346153846153846,0.4866666666666667,0.4866666666666667,1.7380952380952381,1.4038461538461537,6
1982451132,1,0,0,57,51,93,99,1.12,1.12,2.9473684210526314,3.2941176470588234,0.6666666666666666,0.6666666666666666,1.7543859649122806,1.9607843137254901,6
-271016023,1,0,0,54,49,96,101,0.94,0.94,2.611111111111111,2.877551020408163,0.62,0.62,1.7222222222222223,1.8979591836734695,6
-2021148274,1,0,0,52,52,98,98,0.9866666666666667,0.9866666666666667,2.8461538461538463,2.8461538461538463,0.6266666666666667,0.6266666666666667,1.8076923076923077,1.8076923076923077,6
-172371740,1,0,0,48,43,102,107,0.8333333333333334,0.8333333333333334,2.6041666666666665,2.9069767441860463,0.49333333333333335,0.49333333333333335,1.5416666666666667,1.7209302325581395,6
413309286,1,0,0,53,49,97,101,1.0533333333333332,1.0533333333333332,2.981132075471698,3.2244897959183674,0.5666666666666667,0.5666666666666667,1.6037735849056605,1.7346938775510203,6
-446850695,1,0,0,57,54,93,96,1.1333333333333333,1.1333333333333333,2.982456140350877,3.1481481481481484,0.6,0.6,1.5789473684210527,1.6666666666666667,6
